Rank,English_Meaning,Language_A,Word_A,Language_B,Word_B,Similarity_Score,Pattern_Detected
69,want,ca,voler,it,volere,0.909,delta: '' vs 'e'
69,want,gl,quero,pt,quer,0.889,delta: 'o' vs ''
70,how,es,cómo,gl,como,0.750,delta: 'ó' vs 'o'
70,how,fr,comment,it,come,0.727,delta: 'ment' vs 'e'
70,how,gl,como,it,come,0.750,delta: 'o' vs 'e'
71,when,gl,cando,it,quando,0.727,delta: 'c' vs 'qu'
71,when,gl,cando,pt,quando,0.727,delta: 'c' vs 'qu'
73,now,es,ahora,gl,agora,0.800,delta: 'h' vs 'g'
73,now,es,ahora,pt,agora,0.800,delta: 'h' vs 'g'
74,like,gl,como,pt,Como,0.750,delta: 'c' vs 'C'
75,other,ca,altres,fr,autre,0.727,delta: 'ltres' vs 'utre'
75,other,ca,altres,ro,alte,0.800,delta: 'res' vs 'e'
76,could,ca,podria,gl,podería,0.769,delta: 'ri' vs 'erí'
76,could,ca,podria,pt,poderia,0.923,delta: '' vs 'e'
76,could,gl,podería,pt,poderia,0.857,delta: 'í' vs 'i'
77,our,ca,nostre,fr,notre,0.909,delta: 's' vs ''
77,our,ca,nostre,it,nostro,0.833,delta: 'e' vs 'o'
77,our,es,nuestro,it,nostro,0.769,delta: 'ue' vs 'o'
77,our,fr,notre,it,nostro,0.727,delta: 'tre' vs 'stro'
77,our,gl,noso,it,nostro,0.800,delta: '' vs 'tr'
77,our,gl,noso,pt,nosso,0.889,delta: '' vs 's'
77,our,it,nostro,pt,nosso,0.727,delta: 'tr' vs 's'
79,here,ca,aquí,pt,aqui,0.750,delta: 'í' vs 'i'
79,here,es,aquí,pt,aqui,0.750,delta: 'í' vs 'i'
79,here,gl,aquí,pt,aqui,0.750,delta: 'í' vs 'i'
82,look,ca,mira,es,Mira,0.750,delta: 'm' vs 'M'
82,look,ca,mira,gl,mirar,0.889,delta: '' vs 'r'
83,way,es,camino,pt,caminho,0.923,delta: '' vs 'h'
84,more,gl,máis,pt,mais,0.750,delta: 'á' vs 'a'
85,these,ca,aquests,it,queste,0.769,delta: 'aquests' vs 'queste'
85,these,es,estos,gl,estes,0.800,delta: 'o' vs 'e'
85,these,gl,estes,it,queste,0.727,delta: 'estes' vs 'queste'
85,these,gl,estes,pt,esses,0.800,delta: 't' vs 's'
85,these,gl,estes,ro,aceste,0.727,delta: 'estes' vs 'aceste'
87,thing,ca,cosa,gl,cousa,0.889,delta: '' vs 'u'
87,thing,ca,cosa,pt,coisa,0.889,delta: '' vs 'i'
87,thing,es,cosa,gl,cousa,0.889,delta: '' vs 'u'
87,thing,es,cosa,pt,coisa,0.889,delta: '' vs 'i'
87,thing,gl,cousa,it,cosa,0.889,delta: 'u' vs ''
87,thing,gl,cousa,pt,coisa,0.800,delta: 'u' vs 'i'
87,thing,it,cosa,pt,coisa,0.889,delta: '' vs 'i'
88,well,es,bien,it,bene,0.750,delta: 'ien' vs 'ene'
88,well,es,bien,ro,bine,0.750,delta: 'en' vs 'ne'
88,well,fr,bien,it,bene,0.750,delta: 'ien' vs 'ene'
88,well,fr,bien,ro,bine,0.750,delta: 'en' vs 'ne'
88,well,it,bene,ro,bine,0.750,delta: 'e' vs 'i'
89,because,es,porque,pt,Porque,0.833,delta: 'p' vs 'P'
89,because,gl,porque,pt,Porque,0.833,delta: 'p' vs 'P'
90,also,ca,també,gl,tamén,0.800,delta: 'bé' vs 'én'
91,two,gl,dous,pt,dois,0.750,delta: 'u' vs 'i'
92,use,ca,utilitzar,fr,utiliser,0.706,delta: 'tza' vs 'se'
92,use,ca,utilitzar,ro,utilizare,0.889,delta: 'tzar' vs 'zare'
92,use,fr,utiliser,ro,utilizare,0.706,delta: 'ser' vs 'zare'
93,tell,es,contar,it,raccontare,0.750,delta: 'contar' vs 'raccontare'
93,tell,gl,contar,it,raccontare,0.750,delta: 'contar' vs 'raccontare'
93,tell,it,raccontare,pt,contar,0.750,delta: 'raccontare' vs 'contar'
95,first,ca,primer,es,primero,0.923,delta: '' vs 'o'
95,first,ca,primer,gl,primeira,0.857,delta: 'r' vs 'ira'
95,first,ca,primer,it,primo,0.727,delta: 'er' vs 'o'
95,first,ca,primer,pt,primeiro,0.857,delta: 'r' vs 'iro'
95,first,es,primero,gl,primeira,0.800,delta: 'ro' vs 'ira'
95,first,es,primero,it,primo,0.833,delta: 'er' vs ''
95,first,es,primero,pt,primeiro,0.933,delta: '' vs 'i'
95,first,gl,primeira,pt,primeiro,0.875,delta: 'a' vs 'o'
95,first,it,primo,pt,primeiro,0.769,delta: '' vs 'eir'
95,first,it,primo,ro,primul,0.727,delta: 'o' vs 'ul'
96,man,ca,home,es,hombre,0.800,delta: '' vs 'br'
96,man,ca,home,fr,homme,0.889,delta: '' vs 'm'
96,man,es,hombre,fr,homme,0.727,delta: 'br' vs 'm'
96,man,es,hombre,gl,home,0.800,delta: 'br' vs ''
96,man,fr,homme,gl,home,0.889,delta: 'm' vs ''
98,find,ca,trobar,it,trovare,0.769,delta: 'bar' vs 'vare'
98,find,fr,trouver,it,trovare,0.714,delta: 'uver' vs 'vare'
99,give,ca,donar,fr,donner,0.727,delta: 'a' vs 'ne'
100,more,gl,máis,pt,mais,0.750,delta: 'á' vs 'a'
101,new,es,nuevo,it,nuovo,0.800,delta: 'e' vs 'o'
101,new,gl,novo,it,nuovo,0.889,delta: '' vs 'u'
101,new,it,nuovo,pt,novo,0.889,delta: 'u' vs ''
103,us,ca,nosaltres,es,nosotros,0.706,delta: 'altre' vs 'otro'
104,any,fr,quelconque,it,qualunque,0.737,delta: 'elco' vs 'alu'
104,any,gl,calquera,pt,qualquer,0.750,delta: 'calquera' vs 'qualquer'
104,any,it,qualunque,pt,qualquer,0.824,delta: 'unque' vs 'quer'
105,those,ca,aquells,es,aquellos,0.933,delta: '' vs 'o'
105,those,ca,aquells,gl,aqueles,0.857,delta: 'l' vs 'e'
105,those,ca,aquells,it,quelli,0.769,delta: 'aquells' vs 'quelli'
105,those,es,aquellos,gl,aqueles,0.800,delta: 'lo' vs 'e'
105,those,es,aquellos,it,quelli,0.714,delta: 'aquellos' vs 'quelli'
106,very,ca,molt,it,molto,0.889,delta: '' vs 'o'
107,her,ca,ella,pt,dela,0.750,delta: 'el' vs 'de'
107,her,es,ella,pt,dela,0.750,delta: 'el' vs 'de'
108,need,ca,necessitat,es,necesitar,0.842,delta: 'sitat' vs 'itar'
108,need,ca,necessitat,pt,necessidade,0.762,delta: 'tat' vs 'dade'
108,need,es,necesitar,gl,necesidade,0.737,delta: 'tar' vs 'dade'
108,need,gl,necesidade,pt,necessidade,0.952,delta: '' vs 's'
110,there,ca,allà,es,allí,0.750,delta: 'à' vs 'í'
111,should,es,deberían,gl,debería,0.933,delta: 'n' vs ''
114,many,ca,molts,gl,moitas,0.727,delta: 'lt' vs 'ita'
114,many,ca,molts,it,molti,0.800,delta: 's' vs 'i'
115,really,ca,realment,fr,vraiment,0.750,delta: 'real' vs 'vrai'
115,really,ca,realment,gl,realmente,0.941,delta: '' vs 'e'
115,really,ca,realment,it,veramente,0.706,delta: 'realment' vs 'veramente'
115,really,ca,realment,pt,realmente,0.941,delta: '' vs 'e'
115,really,fr,vraiment,gl,realmente,0.706,delta: 'vraiment' vs 'realmente'
115,really,fr,vraiment,it,veramente,0.824,delta: 'raiment' vs 'eramente'
115,really,fr,vraiment,pt,realmente,0.706,delta: 'vraiment' vs 'realmente'
115,really,gl,realmente,it,veramente,0.778,delta: 'real' vs 'vera'
115,really,it,veramente,pt,realmente,0.778,delta: 'vera' vs 'real'
116,work,ca,treball,gl,traballo,0.800,delta: 'eball' vs 'aballo'
116,work,es,trabajo,gl,traballo,0.800,delta: 'j' vs 'll'
116,work,es,trabajo,pt,trabalhos,0.750,delta: 'jo' vs 'lhos'
116,work,gl,traballo,pt,trabalhos,0.824,delta: 'lo' vs 'hos'
117,life,ca,vida,it,vita,0.750,delta: 'd' vs 't'
117,life,es,vida,it,vita,0.750,delta: 'd' vs 't'
117,life,gl,vida,it,vita,0.750,delta: 'd' vs 't'
117,life,it,vita,pt,vida,0.750,delta: 't' vs 'd'
118,why,ca,Per què,pt,Por quê,0.714,delta: 'er què' vs 'or quê'
118,why,es,por qué,gl,por que,0.857,delta: 'é' vs 'e'
118,why,es,por qué,pt,Por quê,0.714,delta: 'por qué' vs 'Por quê'
118,why,gl,por que,pt,Por quê,0.714,delta: 'por que' vs 'Por quê'
119,right,ca,dret,pt,direito,0.727,delta: 'ret' vs 'ireito'
119,right,ca,dret,ro,dreapta,0.727,delta: 't' vs 'apta'
120,down,es,abajo,gl,abaixo,0.727,delta: 'j' vs 'ix'
120,down,gl,abaixo,pt,baixa,0.727,delta: 'abaixo' vs 'baixa'
123,let,ca,deixar,es,dejar,0.727,delta: 'ix' vs 'j'
123,let,es,dejar,gl,deixar,0.727,delta: 'j' vs 'ix'
125,too,ca,també,es,también,0.833,delta: 'é' vs 'ién'
125,too,ca,també,gl,tamén,0.800,delta: 'bé' vs 'én'
125,too,ca,també,pt,também,0.909,delta: '' vs 'm'
125,too,es,también,gl,tamén,0.833,delta: 'bi' vs ''
125,too,es,también,pt,também,0.769,delta: 'ién' vs 'ém'
125,too,gl,tamén,pt,também,0.727,delta: 'én' vs 'bém'
126,call,fr,appeler,ro,apel,0.727,delta: 'peler' vs 'el'
126,call,gl,chamar,it,chiamata,0.714,delta: 'amar' vs 'iamata'
127,woman,ca,dona,it,donna,0.889,delta: '' vs 'n'
127,woman,es,mujer,gl,muller,0.727,delta: 'j' vs 'll'
127,woman,es,mujer,pt,mulher,0.727,delta: 'j' vs 'lh'
127,woman,fr,femme,ro,femeie,0.727,delta: 'm' vs 'ei'
127,woman,gl,muller,pt,mulher,0.833,delta: 'l' vs 'h'
128,may,ca,maig,gl,maio,0.750,delta: 'g' vs 'o'
128,may,es,mayo,gl,maio,0.750,delta: 'y' vs 'i'
129,still,gl,aínda,pt,ainda,0.800,delta: 'í' vs 'i'
130,through,ca,a través de,pt,Através dos,0.727,delta: 'a través de' vs 'Através dos'
130,through,gl,a través de,pt,Através dos,0.727,delta: 'a través de' vs 'Através dos'
131,mean,ca,significar,it,significare,0.952,delta: '' vs 'e'
131,mean,es,significar,it,significare,0.952,delta: '' vs 'e'
131,mean,gl,significar,it,significare,0.952,delta: '' vs 'e'
131,mean,it,significare,pt,significar,0.952,delta: 'e' vs ''
132,after,ca,després,es,después,0.857,delta: 'r' vs 'u'
132,after,ca,després,gl,despois,0.714,delta: 'ré' vs 'oi'
132,after,es,después,gl,despois,0.714,delta: 'ué' vs 'oi'
132,after,gl,despois,pt,depois de,0.750,delta: 'spois' vs 'pois de'
133,never,es,nunca,pt,Nunca,0.800,delta: 'n' vs 'N'
133,never,gl,nunca,pt,Nunca,0.800,delta: 'n' vs 'N'
135,world,es,mundo,it,mondo,0.800,delta: 'u' vs 'o'
135,world,fr,monde,it,mondo,0.800,delta: 'e' vs 'o'
135,world,gl,mundo,it,mondo,0.800,delta: 'u' vs 'o'
135,world,it,mondo,pt,mundo,0.800,delta: 'o' vs 'u'
137,feel,ca,sentir,fr,ressentir,0.800,delta: '' vs 'res'
137,feel,es,sentir,fr,ressentir,0.800,delta: '' vs 'res'
137,feel,fr,ressentir,gl,sentir,0.800,delta: 'res' vs ''
137,feel,fr,ressentir,pt,sentir,0.800,delta: 'res' vs ''
139,great,ca,genial,gl,xenial,0.833,delta: 'g' vs 'x'
140,last,es,ultimo,gl,último,0.833,delta: 'u' vs 'ú'
140,last,es,ultimo,it,Ultimo,0.833,delta: 'u' vs 'U'
140,last,es,ultimo,ro,ultimul,0.769,delta: 'o' vs 'ul'
140,last,gl,último,it,Ultimo,0.833,delta: 'ú' vs 'U'
144,ask,ca,preguntar,pt,perguntar,0.889,delta: 're' vs 'er'
144,ask,es,preguntar,pt,perguntar,0.889,delta: 're' vs 'er'
144,ask,gl,preguntar,pt,perguntar,0.889,delta: 're' vs 'er'
145,when,gl,cando,it,quando,0.727,delta: 'c' vs 'qu'
145,when,gl,cando,pt,quando,0.727,delta: 'c' vs 'qu'
146,as,es,como,it,come,0.750,delta: 'o' vs 'e'
146,as,es,como,pt,Como,0.750,delta: 'c' vs 'C'
146,as,fr,comme,it,come,0.889,delta: 'm' vs ''
146,as,gl,como,it,come,0.750,delta: 'o' vs 'e'
146,as,gl,como,pt,Como,0.750,delta: 'c' vs 'C'
147,school,ca,escola,it,scuola,0.833,delta: 'esc' vs 'scu'
147,school,gl,escola,it,scuola,0.833,delta: 'esc' vs 'scu'
147,school,it,scuola,pt,escola,0.833,delta: 'scu' vs 'esc'
148,state,en,state,ca,estat,0.800,delta: 'state' vs 'estat'
148,state,en,state,it,stato,0.800,delta: 'e' vs 'o'
148,state,en,state,ro,stat,0.889,delta: 'e' vs ''
148,state,ca,estat,gl,estado,0.727,delta: 't' vs 'do'
148,state,ca,estat,it,stato,0.800,delta: 'estat' vs 'stato'
148,state,ca,estat,ro,stat,0.889,delta: 'e' vs ''
148,state,fr,Etat,ro,stat,0.750,delta: 'E' vs 's'
148,state,gl,estado,it,stato,0.727,delta: 'estad' vs 'stat'
148,state,gl,estado,pt,Estado,0.833,delta: 'e' vs 'E'
148,state,it,stato,pt,Estado,0.727,delta: 'stat' vs 'Estad'
148,state,it,stato,ro,stat,0.889,delta: 'o' vs ''
149,much,en,much,es,mucho,0.889,delta: '' vs 'o'
149,much,ca,molt,ro,mult,0.750,delta: 'o' vs 'u'
150,talk,ca,parlar,fr,parler,0.833,delta: 'a' vs 'e'
150,talk,ca,parlar,gl,falar,0.727,delta: 'par' vs 'fa'
150,talk,ca,parlar,it,parlare,0.923,delta: '' vs 'e'
150,talk,es,hablar,gl,falar,0.727,delta: 'hab' vs 'fa'
150,talk,fr,parler,it,parlare,0.769,delta: 'er' vs 'are'
151,out,ca,fora,gl,fóra,0.750,delta: 'o' vs 'ó'
151,out,ca,fora,pt,Fora,0.750,delta: 'f' vs 'F'
152,keep,ca,mantenir,es,mantenerse,0.778,delta: 'ir' vs 'erse'
152,keep,ca,mantenir,gl,manter,0.857,delta: 'ni' vs ''
152,keep,ca,mantenir,it,mantenere,0.824,delta: 'ir' vs 'ere'
152,keep,es,mantenerse,gl,manter,0.750,delta: 'nerse' vs 'r'
152,keep,es,mantenerse,it,mantenere,0.947,delta: 's' vs ''
152,keep,gl,manter,it,mantenere,0.800,delta: 'r' vs 'nere'
153,leave,es,salir,pt,sair,0.889,delta: 'l' vs ''
153,leave,gl,saír,pt,sair,0.750,delta: 'í' vs 'i'
154,put,es,poner,gl,poñer,0.800,delta: 'n' vs 'ñ'
154,put,fr,mettre,it,mettere,0.923,delta: '' vs 'e'
155,like,gl,como,pt,Como,0.750,delta: 'c' vs 'C'
156,help,ca,ajuda,es,ayuda,0.800,delta: 'j' vs 'y'
156,help,ca,ajuda,gl,axuda,0.800,delta: 'j' vs 'x'
156,help,es,ayuda,gl,axuda,0.800,delta: 'y' vs 'x'
156,help,es,ayuda,pt,ajuda,0.800,delta: 'y' vs 'j'
156,help,gl,axuda,pt,ajuda,0.800,delta: 'x' vs 'j'
157,big,ca,gran,es,grande,0.800,delta: '' vs 'de'
157,big,ca,gran,fr,grand,0.889,delta: '' vs 'd'
157,big,ca,gran,gl,grande,0.800,delta: '' vs 'de'
157,big,ca,gran,it,grande,0.800,delta: '' vs 'de'
157,big,ca,gran,pt,grande,0.800,delta: '' vs 'de'
157,big,es,grande,fr,grand,0.909,delta: 'e' vs ''
157,big,fr,grand,gl,grande,0.909,delta: '' vs 'e'
157,big,fr,grand,it,grande,0.909,delta: '' vs 'e'
157,big,fr,grand,pt,grande,0.909,delta: '' vs 'e'
158,where,es,donde,gl,onde,0.889,delta: 'd' vs ''
158,where,gl,onde,pt,Onde,0.750,delta: 'o' vs 'O'
158,where,gl,onde,ro,Unde,0.750,delta: 'o' vs 'U'
158,where,pt,Onde,ro,Unde,0.750,delta: 'O' vs 'U'
159,same,es,mismo,gl,mesmo,0.800,delta: 'i' vs 'e'
159,same,es,mismo,pt,mesmo,0.800,delta: 'i' vs 'e'
160,all,ca,tots,fr,tout,0.750,delta: 'ts' vs 'ut'
160,all,es,todo,gl,todos,0.889,delta: '' vs 's'
160,all,es,todo,pt,tudo,0.750,delta: 'o' vs 'u'
161,own,ca,propi,es,propio,0.909,delta: '' vs 'o'
161,own,ca,propi,fr,propre,0.727,delta: 'i' vs 're'
161,own,ca,propi,gl,propio,0.909,delta: '' vs 'o'
161,own,ca,propi,ro,proprii,0.833,delta: '' vs 'ri'
161,own,es,propio,ro,proprii,0.769,delta: 'io' vs 'rii'
161,own,fr,propre,ro,proprii,0.769,delta: 'e' vs 'ii'
161,own,gl,propio,ro,proprii,0.769,delta: 'io' vs 'rii'
162,while,ca,mentre,es,mientras,0.714,delta: 'entre' vs 'ientras'
162,while,ca,mentre,gl,mentres,0.923,delta: '' vs 's'
162,while,es,mientras,gl,mentres,0.800,delta: 'ientra' vs 'entre'
162,while,es,mientras,it,mentre,0.714,delta: 'ientras' vs 'entre'
162,while,gl,mentres,it,mentre,0.923,delta: 's' vs ''
163,start,ca,començar,gl,comezar,0.800,delta: 'nç' vs 'z'
163,start,ca,començar,pt,começar,0.933,delta: 'n' vs ''
163,start,gl,comezar,pt,começar,0.857,delta: 'z' vs 'ç'
164,three,ca,tres,es,Tres,0.750,delta: 't' vs 'T'
164,three,ca,tres,pt,três,0.750,delta: 'e' vs 'ê'
164,three,es,Tres,gl,tres,0.750,delta: 'T' vs 't'
164,three,es,Tres,ro,Trei,0.750,delta: 's' vs 'i'
164,three,gl,tres,pt,três,0.750,delta: 'e' vs 'ê'
165,high,es,alto,pt,Alto,0.750,delta: 'a' vs 'A'
165,high,gl,alto,pt,Alto,0.750,delta: 'a' vs 'A'
165,high,it,alto,pt,Alto,0.750,delta: 'a' vs 'A'
167,another,ca,un altre,fr,une autre,0.824,delta: ' al' vs 'e au'
167,another,ca,un altre,ro,un alt,0.857,delta: 're' vs ''
167,another,es,otro,gl,outro,0.889,delta: '' vs 'u'
167,another,es,otro,pt,outro,0.889,delta: '' vs 'u'
168,become,ca,convertir-se en,es,convertirse en,0.966,delta: '-' vs ''
168,become,ca,convertir-se en,gl,converterse,0.769,delta: 'ir-se en' vs 'erse'
168,become,es,convertirse en,gl,converterse,0.800,delta: 'irse en' vs 'erse'
168,become,fr,devenir,ro,deveni,0.923,delta: 'r' vs ''
169,most,ca,la majoria,gl,a maioría,0.737,delta: 'la majori' vs 'a maiorí'
169,most,ca,la majoria,pt,a maioria,0.842,delta: 'la maj' vs 'a mai'
169,most,gl,a maioría,pt,a maioria,0.889,delta: 'í' vs 'i'
170,between,ca,entre,es,Entre,0.800,delta: 'e' vs 'E'
170,between,ca,entre,ro,între,0.800,delta: 'e' vs 'î'
170,between,es,Entre,gl,entre,0.800,delta: 'E' vs 'e'
170,between,es,Entre,pt,entre,0.800,delta: 'E' vs 'e'
170,between,es,Entre,ro,între,0.800,delta: 'E' vs 'î'
170,between,gl,entre,ro,între,0.800,delta: 'e' vs 'î'
170,between,pt,entre,ro,între,0.800,delta: 'e' vs 'î'
171,happen,es,ocurrir,gl,ocorrer,0.714,delta: 'urri' vs 'orre'
172,family,en,family,es,familia,0.769,delta: 'y' vs 'ia'
172,family,en,family,fr,famille,0.769,delta: 'y' vs 'le'
172,family,en,family,gl,familia,0.769,delta: 'y' vs 'ia'
172,family,en,family,it,famiglia,0.714,delta: 'ly' vs 'glia'
172,family,en,family,ro,familie,0.769,delta: 'y' vs 'ie'
172,family,ca,família,es,familia,0.857,delta: 'í' vs 'i'
172,family,ca,família,gl,familia,0.857,delta: 'í' vs 'i'
172,family,ca,família,it,famiglia,0.800,delta: 'í' vs 'ig'
172,family,ca,família,ro,familie,0.714,delta: 'ília' vs 'ilie'
172,family,es,familia,fr,famille,0.714,delta: 'ia' vs 'le'
172,family,es,familia,it,famiglia,0.933,delta: '' vs 'g'
172,family,es,familia,pt,família,0.857,delta: 'i' vs 'í'
172,family,es,familia,ro,familie,0.857,delta: 'a' vs 'e'
172,family,fr,famille,gl,familia,0.714,delta: 'le' vs 'ia'
172,family,fr,famille,ro,familie,0.857,delta: 'l' vs 'i'
172,family,gl,familia,it,famiglia,0.933,delta: '' vs 'g'
172,family,gl,familia,pt,família,0.857,delta: 'i' vs 'í'
172,family,gl,familia,ro,familie,0.857,delta: 'a' vs 'e'
172,family,it,famiglia,pt,família,0.800,delta: 'ig' vs 'í'
172,family,it,famiglia,ro,familie,0.800,delta: 'glia' vs 'lie'
172,family,pt,família,ro,familie,0.714,delta: 'ília' vs 'ilie'
174,president,en,president,es,presidente,0.947,delta: '' vs 'e'
174,president,en,president,fr,Président,0.778,delta: 'pre' vs 'Pré'
174,president,en,president,gl,presidente,0.947,delta: '' vs 'e'
174,president,en,president,it,Presidente,0.842,delta: 'president' vs 'Presidente'
174,president,en,president,pt,Presidente,0.842,delta: 'president' vs 'Presidente'
174,president,en,president,ro,presedinte,0.737,delta: 'ident' vs 'edinte'
174,president,ca,president,es,presidente,0.947,delta: '' vs 'e'
174,president,ca,president,fr,Président,0.778,delta: 'pre' vs 'Pré'
174,president,ca,president,gl,presidente,0.947,delta: '' vs 'e'
174,president,ca,president,it,Presidente,0.842,delta: 'president' vs 'Presidente'
174,president,ca,president,pt,Presidente,0.842,delta: 'president' vs 'Presidente'
174,president,ca,president,ro,presedinte,0.737,delta: 'ident' vs 'edinte'
174,president,es,presidente,fr,Président,0.737,delta: 'presidente' vs 'Président'
174,president,es,presidente,it,Presidente,0.900,delta: 'p' vs 'P'
174,president,es,presidente,pt,Presidente,0.900,delta: 'p' vs 'P'
174,president,es,presidente,ro,presedinte,0.800,delta: 'ide' vs 'edi'
